,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date
1377,1953,Qtr 1,March,3,De Havilland,de Havilland DH106 Comet 1ACF CUN,Karachi Pakistan,Lines Air Pacific Canadian,0,11,11,Pakistan,1953-03-03
1378,1953,Qtr 1,March,4,Curtiss,Curtiss C 46FN4717N,Windsor Locks Connecticut,Airways Slick,0,2,2,USA,1953-03-04
1379,1953,Qtr 1,March,14,Convair,Convair CV 240,Kalasahar India,Airways Orient,0,16,16,India,1953-03-14
1380,1953,Qtr 1,March,17,McDonnell Douglas,Douglas DC 3F,Off Da Nang Vietnam,Azur Aigle,0,8,8,Vietnam,1953-03-17
1381,1953,Qtr 1,March,18,Boeing,Boeing B 29 Superfortress44,Stephenville Newfoundlandu.s.,Force Air,0,10,10,Canada,1953-03-18
1382,1953,Qtr 1,March,18,Convair,Convair RB 36H51,Random Island Newfoundland,Force Air U.S. - Military,0,23,23,Canada,1953-03-18
1383,1953,Qtr 1,March,20,McDonnell Douglas,Douglas DC 4  (C,Alvarado California,Lines Air Transocean,0,35,35,USA,1953-03-20
1384,1953,Qtr 1,March,27,De Havilland,de Havilland DH 114 Heron 1BPP,Itapebi Brazil,Salvador Aéreos Transportes,0,14,14,Brazil,1953-03-27
1385,1953,Qtr 1,March,29,Vickers,Vickers 616 Viking 1BVP YEY,Mtara Tanganyika,Airways African Central,0,13,13,Tanzania,1953-03-29
1386,1953,Qtr 2,April,10,,Doublas Dc 3?,Near Anchieta Island Brazil,REAL,0,26,0,Brazil,1953-04-10
1387,1953,Qtr 2,April,10,Lockheed Martin,Lockheed 18 56 LodeStarVP,Off Kingston Jamaica,Airways International Caribbean,0,13,13,Jamaica,1953-04-10
1388,1953,Qtr 2,April,10,Junkers,Junkers JU 5/,Miandivazo Madagascar,France Air,0,4,15,Madagascar,1953-04-10
1389,1953,Qtr 2,April,14,McDonnell Douglas,Douglas DC 3 (C,Selleck Washington,Airlines Miami,0,7,25,USA,1953-04-14
1390,1953,Qtr 2,April,14,McDonnell Douglas,Douglas C 47AVT,Near Guwahati India,Airways,0,3,3,India,1953-04-14
1391,1953,Qtr 2,April,16,McDonnell Douglas,Douglas DC 3F,NW of Hanoi Vietnam,Azur Aigle,0,30,30,Vietnam,1953-04-16
1392,1953,Qtr 2,April,20,McDonnell Douglas,Douglas DC 6BN91303,San Francisco Bay California,Airlines Western,0,8,10,USA,1953-04-20
1393,1953,Qtr 2,May,2,De Havilland,de Havilland DH106 Comet 1G ALYV,Near Jalalogori West,India          Bengal British Overseas Airways,0,43,43,India,1953-05-02
1394,1953,Qtr 2,May,7,Vickers,Vickers Valetta T 3WG258,Off Hartland Point England,Force Air Royal - Military,0,10,10,UK,1953-05-07
1395,1953,Qtr 2,May,9,McDonnell Douglas,Douglas DC 3VT,New Delhi India,India Air,0,18,18,India,1953-05-09
1396,1953,Qtr 2,May,11,Consolidated,Consolidated PBY 5A CatalinaCF,Prince Rupert BC,Canada Canadian Pacific Air Lines,0,2,19,Canada,1953-05-11
1397,1953,Qtr 2,May,17,McDonnell Douglas,Douglas DC 3N28345,Near Marshall Texas,Lines Air Delta,0,19,20,USA,1953-05-17
1398,1953,Qtr 2,May,24,McDonnell Douglas,Douglas DC 3N53596,St. Louis Missouri,Air Meteor,0,6,7,USA,1953-05-24
1399,1953,Qtr 2,May,25,Convair,Convair CV 240,Amsterdam Netherlands,Airlines Dutch Royal KLM,2,0,34,Netherlands,1953-05-25
1400,1953,Qtr 2,May,27,Consolidated,Li  2 / Li,Goose Wade Russia,Aeroflot,0,20,20,Russia,1953-05-27
1401,1953,Qtr 2,June,14,Ilyushin,Ilyushin IL 2CCCP,Near  Zugdidi Georgia,Aeroflot,0,18,18,USA,1953-06-14
1402,1953,Qtr 2,June,15,Lockheed Martin,Lockheed 18 LoadstarCC CLD,Near Reo Copiapo Chile,Chile Lan,0,7,7,Chile,1953-06-15
1403,1953,Qtr 2,June,15,McDonnell Douglas,Douglas DC 3TI,San Ramon Mtns. Costa,RicaLACSA,0,9,17,Costa Rica,1953-06-15
1404,1953,Qtr 2,June,16,McDonnell Douglas,Douglas DC 3F,Mount Phou-Lassy French,Azur Indo-ChinaAigle,0,34,34,France,1953-06-16
1405,1953,Qtr 2,June,17,Lockheed Martin,Lockheed 049 46,Sao Paulo Brazil,Brasil do Panair,0,17,17,Brazil,1953-06-17
1406,1953,Qtr 2,June,18,McDonnell Douglas,Douglas C 124A Globemaster II51,Tachikawa AFB Tokyo,Japan Military - U.S. Air Force,0,129,129,Japan,1953-06-18
1407,1953,Qtr 3,July,12,McDonnell Douglas,Douglas DC 6AN90806,Pacific Ocean 325,Lines Air IslandTransocean Wake of east miles,0,58,58,Pacific Ocean,1953-07-12
1408,1953,Qtr 3,July,17,Fairchild,Fairchild R4Q 2131663,Near Milton Florida,Navy U.S. - Military,0,44,46,USA,1953-07-17
1409,1953,Qtr 3,July,27,Ilyushin,Ilyushin IL 12?,Near Kanggye North,KoreaAeroflot,0,21,21,North Korea,1953-07-27
1410,1953,Qtr 3,August,3,Lockheed Martin,Lockheed L  749A ConstellationF,Off Fethiye Point Turkey,France Air,0,4,42,Turkey,1953-08-03
1411,1953,Qtr 3,August,3,McDonnell Douglas,Douglas DC 3AP,Sharjah United,Airways EmiratesOrient Arab,0,1,25,UK,1953-08-03
1412,1953,Qtr 3,August,5,Convair,Convair B 3652,Off Irish coastMilitary - U.S. Air Force,,0,19,23,UK,1953-08-05
1413,1953,Qtr 3,August,18,Curtiss,Curtiss C 46AXA,Near San Diego California,Contreras Aerovias,0,2,2,USA,1953-08-18
1414,1953,Qtr 3,September,1,McDonnell Douglas,Douglas DC 3N19941,Vail Washington,Airlines Cargo Regina,0,21,21,USA,1953-09-01
1415,1953,Qtr 3,September,1,,Lockheed 749A ConstellationF BAZZ,Near Barcelonnette France,France Air,0,42,42,France,1953-09-01
1416,1953,Qtr 3,September,8,McDonnell Douglas,Douglas C 47AXH,San Andres Honduras,TACA,0,3,3,Honduras,1953-09-08
1417,1953,Qtr 3,September,14,McDonnell Douglas,Douglas C 47AXA,Chablekal Mexico,Mexicanos Aéreos Transportes,0,1,2,Mexico,1953-09-14
1418,1953,Qtr 3,September,16,Convair,Convair CV 240,Albany New,Airlines YorkAmerican,0,28,28,New Zealand,1953-09-16
1419,1953,Qtr 3,September,25,McDonnell Douglas,Douglas DC 3TC,Ankara Turkey,Yollari Hava Devlet,0,5,21,Turkey,1953-09-25
1420,1953,Qtr 3,September,28,Curtiss,Curtiss C 46F,Louisville Kentucky,Airlines Resort,0,25,41,USA,1953-09-28
1421,1953,Qtr 4,October,14,Convair,Convair CV 240,Frankfurt Germany,Sabena,0,44,44,Germany,1953-10-14
1422,1953,Qtr 4,October,17,McDonnell Douglas,Douglas C 47BF,Lai Chau Vietnam,Sila Compagnie,0,2,7,Vietnam,1953-10-17
1423,1953,Qtr 4,October,19,McDonnell Douglas,Douglas C 46A,Near Monterrey Mexico,Contreras Aerovias,0,21,21,Mexico,1953-10-19
1424,1953,Qtr 4,October,19,,Lockheed 749A ConstellationN119A,New York City New,Lines Air YorkEastern,0,2,27,New Zealand,1953-10-19
1425,1953,Qtr 4,October,27,Ilyushin,Ilyushin IL 12L1765,Near Magadan Russia,Aeroflot,0,22,32,Russia,1953-10-27
1426,1953,Qtr 4,October,29,McDonnell Douglas,Douglas DC 6VH,Near Half Moon Bay California,Airlines Pacific Commonwealth British,0,19,19,USA,1953-10-29
1427,1953,Qtr 4,October,31,Consolidated,Li  2L4732,Kharkov. Ukraine Russia,Aeroflot,0,15,16,Russia,1953-10-31
1428,1953,Qtr 4,November,3,McDonnell Douglas,Douglas DC 3CP,Tarabuco Bolivia,Boliviano Aereo Lloyd,0,28,28,Bolivia,1953-11-03
1429,1953,Qtr 4,November,11,Avro,Avro Shackleton MR 2WL746,Off Argyll Scotland,Force Air Royal - Military,0,10,10,UK,1953-11-11
1430,1953,Qtr 4,December,4,Bristol,Bristol 170 Freighter 21EC AEG,Near Guaderrama Spain,Aviaco,0,23,33,Spain,1953-12-04
1431,1953,Qtr 4,December,12,McDonnell Douglas,Douglas DC 3VT,Nagpur India,Airlines Indian,0,13,14,India,1953-12-12
1432,1953,Qtr 4,December,15,Curtiss,Curtiss C 46DTG,Tecpan Mt. Guatemala,Aviateca,0,2,2,Guatemala,1953-12-15
1433,1953,Qtr 4,December,15,,VC  VikingSU,Near Cairo Egypt,Misair,0,6,6,Egypt,1953-12-15
1434,1953,Qtr 4,December,17,Boeing,Boeing B 2944,Guam Mariana,Force Air U.S. - IslandsMilitary,8,11,16,USA,1953-12-17
1435,1953,Qtr 4,December,19,Convair,Convair CV 240OO,Zurich Switzerland,Sabena,0,1,44,Switzerland,1953-12-19
1436,1953,Qtr 4,December,21,McDonnell Douglas,Douglas DC 3YK,Dah-el-Kadeeb Syria,Airways Syrian,0,9,15,Syria,1953-12-21
1437,1954,Qtr 1,January,2,McDonnell Douglas,Douglas DC 3?,Herat Afghanistan,Airlines Afghan Ariana,0,21,21,Afghanistan,1954-01-02
1438,1954,Qtr 1,January,5,McDonnell Douglas,Douglas DC 3TC,Lapseki Turkey,Yollari Hava Devlet,0,4,10,Turkey,1954-01-05
1439,1954,Qtr 1,January,6,Vickers,Vickers ValettaWJ474,Near Aldbury England,Force Air -Royal Military,0,16,17,UK,1954-01-06
1440,1954,Qtr 1,January,10,De Havilland,de Havilland DH106 Comet 1G ALYP,Off Elba Italy,Airways Overseas British,0,35,35,Italy,1954-01-10
1441,1954,Qtr 1,January,11,McDonnell Douglas,Douglas DC 3HK,Manizales Colombia,Avianca,0,21,21,Colombia,1954-01-11
1442,1954,Qtr 1,January,12,McDonnell Douglas,Douglas C 47 Skytrain (DC,Prague Czech,Airlines RepublicCzech,0,13,18,Czech Republic,1954-01-12
1443,1954,Qtr 1,January,13,Farman,F  88 Sabre Jet?,Signal Hill California,Force Air U.S. - Military,6,1,1,USA,1954-01-13
1444,1954,Qtr 1,January,14,McDonnell Douglas,Douglas DC 6PI,Rome Italy,Lines Air Philippine,0,16,16,Italy,1954-01-14
1445,1954,Qtr 1,January,20,McDonnell Douglas,Douglas DC 3AN49551,Kansas City Missouri,Transport Air Zantop,0,3,3,USA,1954-01-20
1446,1954,Qtr 1,February,1,Curtiss,Curtiss  Wright C46D,Off Hokkaido Japan,Force Air U.S. - Military,0,35,35,Japan,1954-02-01
