Unnamed: 0,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date,Weekday
2803,1975,Qtr 1,February,27,Embraer,Embraer 110C BandeirantePP SBE,Near Sao Paulo Brazil,VASP,0,15,15,Brazil,1975-02-27,Thursday
2804,1975,Qtr 1,March,12,McDonnell Douglas,Douglas DC 4XV,Pleiku South,Vietnam) (South Vietnam VietnamAir,0,26,26,Vietnam,1975-03-12,Wednesday
2805,1975,Qtr 1,March,16,Fokker,Fokker F 27 Friendship 400MTC,Near Barito Argentina,Force Air Argentine - Military,0,55,55,Argentina,1975-03-16,Sunday
2806,1975,Qtr 1,March,18,De Havilland,de Havilland Canada DHC 6 Twin Otter 100ST,Singa Sudan,Airways Sudan,0,5,6,Sudan,1975-03-18,Tuesday
2807,1975,Qtr 1,March,18,Antonov,Antonov AN 2CCCP,Near Terney Russia,Aeroflot,0,7,12,Russia,1975-03-18,Tuesday
2808,1975,Qtr 1,March,20,Lockheed Martin,Lockheed C 141A (L.300)64,Near Quilcene Washington,Force Air U.S. - Military,0,16,16,USA,1975-03-20,Thursday
2809,1975,Qtr 2,April,4,Lockheed Martin,Lockheed C 5A Galaxy68,Saigon South,Force Air U.S. - VietnamMilitary,0,155,330,Vietnam,1975-04-04,Friday
2810,1975,Qtr 2,May,13,Sikorsky,Sikorsky CH 53C (helicopter)68,Near Sakon Nakhon Thailand,Force Air U.S. - Military,0,23,23,Thailand,1975-05-13,Tuesday
2811,1975,Qtr 2,June,3,Rohrbach,BAC One Eleven 524FFRP,Manila Philippines,Lines Air Philippine,0,1,64,Philippines,1975-06-03,Tuesday
2812,1975,Qtr 2,June,17,Hawker Siddeley,Hawker Siddeley HS 748,Pedro Alfonso Brazil,Varig,3,1,15,Brazil,1975-06-17,Tuesday
2813,1975,Qtr 2,June,24,Boeing,Boeing B 727,JFK Airport New,New York          York Eastern Air Lines,0,113,124,New Zealand,1975-06-24,Tuesday
2814,1975,Qtr 2,June,26,Beechcraft,Beechcraft E18SN791A,Toledo Ohio,Aviation Hamilton,0,2,2,USA,1975-06-26,Thursday
2815,1975,Qtr 3,July,10,Lockheed Martin,Lockheed L 188AF ElectraHK,Bogota Colombia,Condor Aerovias,0,2,4,Colombia,1975-07-10,Thursday
2816,1975,Qtr 3,July,15,Yakovlev,Yakovlev YAK 40CCCP,Near Batumi Georgia,USSRAeroflot,0,40,40,USA,1975-07-15,Tuesday
2817,1975,Qtr 3,July,31,Vickers,Vickers 837 ViscountB 2029,Taipei Taiwan,Transport Air Eastern Far,0,27,75,Taiwan,1975-07-31,Thursday
2818,1975,Qtr 3,August,3,Boeing,Boeing B 707,Near Immouzer Morocco,Airlines Jordanian Royal Alia,0,188,188,Morocco,1975-08-03,Sunday
2819,1975,Qtr 3,August,3,McDonnell Douglas,Douglas DC 47412,Off Amapala Honduras,Force Air Nicaraguan - Military,0,20,20,Honduras,1975-08-03,Sunday
2820,1975,Qtr 3,August,7,Boeing,Boeing B 727,Denver Colorado,Airlines Continental,0,0,131,USA,1975-08-07,Thursday
2821,1975,Qtr 3,August,9,Ilyushin,Ilyushin IL 14M	 CCCP,Bagdarin Russia,Aeroflot,0,11,11,Russia,1975-08-09,Saturday
2822,1975,Qtr 3,August,15,Yakovlev,Yakovlev YAK 40CCCP,Krasnovodsk USSRAeroflot,Unknown,0,23,38,Russia,1975-08-15,Friday
2823,1975,Qtr 3,August,20,Ilyushin,Ilyushin IL 62OK,Near Damascus Syria,Aerolinie Ceskoslovenske,0,126,128,Syria,1975-08-20,Wednesday
2824,1975,Qtr 3,August,30,Fairchild,Fairchild F 27BN4904,Near Gambell Alaska,Alaska Air Wien,0,10,32,USA,1975-08-30,Saturday
2825,1975,Qtr 3,September,1,Tupolev,Tupolev TU 134DM,Leipzig-Halle East,GermanyInterflug,0,27,34,East Timor (Timor-Leste),1975-09-01,Monday
2826,1975,Qtr 3,September,11,McDonnell Douglas,Douglas C 47,Near Bahar Dar Ethiopia,Airlines Ethiopian,0,1,9,Ethiopia,1975-09-11,Thursday
2827,1975,Qtr 3,September,24,Fokker,Fokker F 28 Fellowship 1000PK,Near Palembang Indonesia,Airlines Indonesia Garuda,1,25,61,Indonesia,1975-09-24,Wednesday
2828,1975,Qtr 3,September,30,Tupolev,Tupolev TU 154BHA,Off Beirut Lebanon,Airlines Hungarian Malev,0,60,60,Lebanon,1975-09-30,Tuesday
2829,1975,Qtr 3,September,30,Boeing,Boeing 727 24CHK,Barranquilla Colombia,Avianca,0,4,4,Colombia,1975-09-30,Tuesday
2830,1975,Qtr 4,October,22,Yakovlev,Yakovlev YAK 40CCCP,Novgorod Russia,Aeroflot,5,6,6,Russia,1975-10-22,Wednesday
2831,1975,Qtr 4,October,23,De Havilland,de Havilland DH114 Heron 2EVH CLS,Cairns Airport Queensland,Australia Connair,0,11,11,Australia,1975-10-23,Thursday
2832,1975,Qtr 4,October,27,Convair,Convair CV 440,Tomonoco Bolivia,(Bolivia) TAM,0,67,67,Bolivia,1975-10-27,Monday
