Unnamed: 0,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date,Weekday
1438,1954,Qtr 1,January,5,McDonnell Douglas,Douglas DC 3TC,Lapseki Turkey,Yollari Hava Devlet,0,4,10,Turkey,1954-01-05,Tuesday
1439,1954,Qtr 1,January,6,Vickers,Vickers ValettaWJ474,Near Aldbury England,Force Air -Royal Military,0,16,17,UK,1954-01-06,Wednesday
1440,1954,Qtr 1,January,10,De Havilland,de Havilland DH106 Comet 1G ALYP,Off Elba Italy,Airways Overseas British,0,35,35,Italy,1954-01-10,Sunday
1441,1954,Qtr 1,January,11,McDonnell Douglas,Douglas DC 3HK,Manizales Colombia,Avianca,0,21,21,Colombia,1954-01-11,Monday
1442,1954,Qtr 1,January,12,McDonnell Douglas,Douglas C 47 Skytrain (DC,Prague Czech,Airlines RepublicCzech,0,13,18,Czech Republic,1954-01-12,Tuesday
1443,1954,Qtr 1,January,13,Farman,F  88 Sabre Jet?,Signal Hill California,Force Air U.S. - Military,6,1,1,USA,1954-01-13,Wednesday
1444,1954,Qtr 1,January,14,McDonnell Douglas,Douglas DC 6PI,Rome Italy,Lines Air Philippine,0,16,16,Italy,1954-01-14,Thursday
1445,1954,Qtr 1,January,20,McDonnell Douglas,Douglas DC 3AN49551,Kansas City Missouri,Transport Air Zantop,0,3,3,USA,1954-01-20,Wednesday
1446,1954,Qtr 1,February,1,Curtiss,Curtiss  Wright C46D,Off Hokkaido Japan,Force Air U.S. - Military,0,35,35,Japan,1954-02-01,Monday
1447,1954,Qtr 1,February,5,McDonnell Douglas,Douglas C 475895,Susitna Valley Alaska,Force Air U.S. - Military,0,10,16,USA,1954-02-05,Friday
1448,1954,Qtr 1,February,12,Avro,Avro Shackleton MR 2WL794,Off Gozo Malta,Force Air Royal - Military,0,10,10,Mal,1954-02-12,Friday
1449,1954,Qtr 1,February,25,McDonnell Douglas,Douglas DC 3VT,New Delhi India,Airlines Indian,0,3,3,India,1954-02-25,Thursday
1450,1954,Qtr 1,February,26,Convair,Convair CV 240N8407H,Wright Wyoming,Airlines Western,0,9,9,USA,1954-02-26,Friday
1451,1954,Qtr 1,March,4,McDonnell Douglas,Douglas C 47A,Near St. Etienne de Tinee France,Force Air U.S. - Military,0,20,20,France,1954-03-04,Thursday
1452,1954,Qtr 1,March,13,Lockheed Martin,Lockheed 749A 79,Kallang Airport Singapore,Airways Overseas British,0,33,40,Singapore,1954-03-13,Saturday
1453,1954,Qtr 1,March,13,Cessna,C  46?,Dien Bien Phu South,Azur VietnamAigle,0,0,0,Vietnam,1954-03-13,Saturday
1454,1954,Qtr 1,March,14,McDonnell Douglas,Douglas C 47AVH,Off Mackay Australia,Airlines Queensland,0,2,2,Australia,1954-03-14,Sunday
1455,1954,Qtr 1,March,19,Fairchild,Fairchild C 110F51,Near Lothian Maryland,Force Air U.S. - Military,0,18,18,USA,1954-03-19,Friday
1456,1954,Qtr 1,March,26,McDonnell Douglas,Douglas DC 3XA,Monterrey Mexico,Mexico de Aeronaves,0,18,18,Mexico,1954-03-26,Friday
1457,1954,Qtr 2,April,3,McDonnell Douglas,Douglas DC 3TC,Kabassaak Turkey,Yollari Hava Devlet,0,25,25,Turkey,1954-04-03,Saturday
1458,1954,Qtr 2,April,4,McDonnell Douglas,Douglas C 54AF,Hanoi Vietnam,Autrex,0,4,4,Vietnam,1954-04-04,Sunday
1459,1954,Qtr 2,April,8,Unknown,Canadair C 4,Moose Jaw SK,Canada Trans Canada Air Lines / RCAF,1,36,36,Canada,1954-04-08,Thursday
1460,1954,Qtr 2,April,8,De Havilland,de Havilland DH106 Comet 1G ALYY,Off Stromboli Italy,leased from British Overseas Airways         Airways African South,0,21,21,Italy,1954-04-08,Thursday
1461,1954,Qtr 2,April,13,McDonnell Douglas,Douglas DC 3956,Batuco Chile,LAN,0,14,14,Chile,1954-04-13,Tuesday
1462,1954,Qtr 2,April,13,Lockheed Martin,Lockheed 18 LodestarF OALK,Xieng Kouang Laos,Raviteillement de Indochinoise Societe,0,16,23,Laos,1954-04-13,Tuesday
1463,1954,Qtr 2,April,23,McDonnell Douglas,Douglas DC 3LV,Sierra del Vilgo Argentina,Argentinas Aerolineas,0,25,25,Argentina,1954-04-23,Friday
1464,1954,Qtr 2,April,30,McDonnell Douglas,Douglas C 47A,Near Calcutta India,Aviation Darbhanga,0,5,11,India,1954-04-30,Friday
1465,1954,Qtr 2,May,22,McDonnell Douglas,Douglas DC 3ZK,Paraparaumu New,Airways National Zealand ZealandNew,0,3,28,New Zealand,1954-05-22,Saturday
1466,1954,Qtr 2,May,31,McDonnell Douglas,Douglas DC 3PP,Cipo Mountain Brazil,Nacionales Aereos Transportes,0,19,19,Brazil,1954-05-31,Monday
1467,1954,Qtr 2,June,3,McDonnell Douglas,Douglas C 47AOO,Near Maribor Slovenia,Sabena,0,1,4,Slovenia,1954-06-03,Thursday
1468,1954,Qtr 2,June,4,Curtiss,Curtiss C 46APP,Sao Paulo Brazil,Varig,0,3,3,Brazil,1954-06-04,Friday
1469,1954,Qtr 2,June,8,McDonnell Douglas,Douglas C 47,Da Nang Vietnam,Orient d'Extrême Aériens Tr. de Soc.,0,4,4,Vietnam,1954-06-08,Tuesday
1470,1954,Qtr 2,June,19,Convair,Convair CV 240,Off Folkestone England,Swissair,0,3,9,UK,1954-06-19,Saturday
1471,1954,Qtr 3,July,2,Lockheed Martin,Lockheed C 28C,Near Salvador Brazil,Force Air Brazilian - Military,0,24,24,Brazil,1954-07-02,Friday
1472,1954,Qtr 3,July,23,McDonnell Douglas,Douglas DC 4VR,Off Hainan Island China,Airways Pacific Cathay,0,10,18,China,1954-07-23,Friday
1473,1954,Qtr 3,August,8,McDonnell Douglas,Douglas DC 2N91008,Near McGrath Alaska,Airlines Alaska,0,2,2,USA,1954-08-08,Sunday
1474,1954,Qtr 3,August,9,Lockheed Martin,Lockheed 749A 79 ConstellationHK,Terceira Island Azores,Portugal AVIANCA,0,30,30,Portugal,1954-08-09,Monday
1475,1954,Qtr 3,August,12,McDonnell Douglas,Douglas DC 3F,VietnamAutrex,Unknown,0,3,3,Vietnam,1954-08-12,Thursday
1476,1954,Qtr 3,August,16,Bristol,Bristol 170 Freighter 21EF VNAI,Near Pakse Laos,Vietnam) (South Vietnam Air,0,47,55,Laos,1954-08-16,Monday
1477,1954,Qtr 3,August,22,McDonnell Douglas,Douglas DC 3N61451,Near Mason City Iowa,Airlines Braniff,0,12,19,USA,1954-08-22,Sunday
1478,1954,Qtr 3,August,23,McDonnell Douglas,Douglas DC 6BPH,Off IJuuiden North,Airlines Dutch Royal SeaKLM,0,21,21,Netherlands,1954-08-23,Monday
1479,1954,Qtr 3,August,26,Lisunov,Lisunov LI 2CCCP,Sakhalin Oblast Russia,Aeroflot,1,26,27,Russia,1954-08-26,Thursday
1480,1954,Qtr 3,August,27,Convair,Convair RB 36H51,Near Rapid City South,Force Air U.S. - DekotaMilitary,0,26,27,USA,1954-08-27,Friday
1481,1954,Qtr 3,September,5,Lockheed Martin,Lockheed 1049C 55,Foynes Ireland,Airlines Dutch Royal KLM,0,28,56,Ireland,1954-09-05,Sunday
1482,1954,Qtr 3,September,12,McDonnell Douglas,Douglas DC 3PP,Off Rio de Janeiro Brazil,Cruzeiro,0,6,26,Brazil,1954-09-12,Sunday
1483,1954,Qtr 3,September,15,Vickers,Vickers 634 VikingSU AFO,Cairo Egypt,Misrair,0,3,4,Egypt,1954-09-15,Wednesday
1484,1954,Qtr 3,September,27,Ilyushin,Ilyushin IL 12CCCP,Novosibirsk Russia,Aeroflot,0,29,29,Russia,1954-09-27,Monday
1485,1954,Qtr 4,October,24,McDonnell Douglas,Douglas C 47A,Near Nice Italy,Force Air U.S. - Military,0,21,21,Italy,1954-10-24,Sunday
1486,1954,Qtr 4,October,28,Ilyushin,Ilyushin IL  12 CCCP,Krasnoyarsk Territory Russia,Aeroflot,0,16,16,Russia,1954-10-28,Thursday
1487,1954,Qtr 4,October,30,Lockheed Martin,Lockheed R7V 1128441,Off Ocean City Maryland,Navy U.S. - Military,0,42,42,USA,1954-10-30,Saturday
1488,1954,Qtr 4,October,31,Vickers,Vickers 720 ViscountVH TVA,Mangalore Australia,TAA,0,3,8,Australia,1954-10-31,Sunday
1489,1954,Qtr 4,November,16,McDonnell Douglas,Douglas DC 3FAP,Jirishanga de,Peru          Pasco TAM (Brazil),0,24,24,South Korea,1954-11-16,Tuesday
1490,1954,Qtr 4,November,30,McDonnell Douglas,Douglas DC 3N17891,Berlin New,Airlines HampshireNortheast,0,2,7,New Zealand,1954-11-30,Tuesday
1491,1954,Qtr 4,December,4,McDonnell Douglas,Douglas DC 3F,Near Luang Pragang Laos,Laos Air,0,29,29,Laos,1954-12-04,Saturday
1492,1954,Qtr 4,December,12,McDonnell Douglas,Douglas C 47AOK,Bratislava Slovakia,Aerolinie Ceskoslovenské,0,4,4,Slovakia,1954-12-12,Sunday
1493,1954,Qtr 4,December,18,McDonnell Douglas,Douglas DC 6BI,New York New,Italiane Aeree YorkLinee,0,26,32,New Zealand,1954-12-18,Saturday
1494,1954,Qtr 4,December,18,McDonnell Douglas,Douglas C 47AYV,Near Bolivar Venezuela,Venezolana Aeropostal Linea,0,2,2,Venezuela,1954-12-18,Saturday
1495,1954,Qtr 4,December,22,McDonnell Douglas,Douglas DC 3N24320,Pittsburgh Pennsylvania,Service Flying Johnson,0,10,28,USA,1954-12-22,Wednesday
1496,1954,Qtr 4,December,25,Boeing,Boeing B377 10,Prestwick Ayrshire,Scotland British Overseas Airways,0,28,36,UK,1954-12-25,Saturday
1497,1954,Qtr 4,December,31,Ilyushin,Ilyushin II 14?,Irkutsk Russia,Aeroflot,0,17,17,Russia,1954-12-31,Friday
1498,1955,Qtr 1,January,1,McDonnell Douglas,Douglas C47?,Near Anchorage Alaska,Force Air US - Military,0,12,12,USA,1955-01-01,Saturday
1499,1955,Qtr 1,January,11,Avro,Avro Shackleton M 2 / Avro Shakleton M,Off Skellings Ireland,Force Air -Royal Military,0,18,18,Ireland,1955-01-11,Tuesday
1500,1955,Qtr 1,January,12,Unknown,Martin 202A / DC 3N93211/N999B,Greater Cincinnati Airport Covington,Kentucky Trans World Airlines / Castleton Inc.,0,15,15,USA,1955-01-12,Wednesday
1501,1955,Qtr 1,January,15,Grumman,Grumman G 73 MallardCF,London Ontario,Canada Ontario Hydro,0,1,5,Canada,1955-01-15,Saturday
1502,1955,Qtr 1,January,19,Convair,Convair CV 340N73154,Des Moines Iowa,Lines Air United,0,0,39,USA,1955-01-19,Wednesday
1503,1955,Qtr 1,January,31,Consolidated,Consolidated PBY 5 CatalinaHK,Lapadrera Colombia,Aviacion de Interamericana,0,5,5,Colombia,1955-01-31,Monday
1504,1955,Qtr 1,February,2,McDonnell Douglas,Douglas DC 3VT,Nagpur India,Airlines Indian,0,10,10,India,1955-02-02,Wednesday
1505,1955,Qtr 1,February,5,Bristol,Bristol 170 Freighter 21EVR NAD,Near Calabar Nigeria,Airways African West,0,13,13,Nigeria,1955-02-05,Saturday
1506,1955,Qtr 1,February,13,McDonnell Douglas,Douglas DC 6OO,Abruzzio Mountains Italy,Sabena,0,29,29,Italy,1955-02-13,Sunday
1507,1955,Qtr 1,February,19,Lockheed Martin,Martin 404N40416,Albuquerque New,Airlines World MexicoTrans,0,16,16,New Zealand,1955-02-19,Saturday
1508,1955,Qtr 1,February,23,McDonnell Douglas,Douglas DC 3VP,Salisbury,Airways African ZimbabweCentral,0,1,26,UK,1955-02-23,Wednesday
1509,1955,Qtr 1,February,26,De Havilland,de Havilland DH.104 Dove LQ XWW,Formosa Argentinade,Dove Havilland,0,6,7,Argentina,1955-02-26,Saturday
1510,1955,Qtr 1,March,6,McDonnell Douglas,Douglas DC 3PP,Vitoria da Conquista Brazil,REAL,0,5,21,Brazil,1955-03-06,Sunday
1511,1955,Qtr 1,March,7,Lockheed Martin,Lockheed 18 LodeStarXB ZEH,Near Cuidad de Valles Mexic,Private,0,6,6,Mexico,1955-03-07,Monday
1512,1955,Qtr 1,March,8,McDonnell Douglas,Douglas DC 3XA,Mascota Mexico,Mexicana,0,26,26,Mexico,1955-03-08,Tuesday
1513,1955,Qtr 1,March,9,McDonnell Douglas,Douglas C 47AHK,Trujillo Colombia,Avianca,0,8,8,Colombia,1955-03-09,Wednesday
1514,1955,Qtr 1,March,20,Convair,Convair CV 240,Springfield Missouri,Airlines American,0,13,35,USA,1955-03-20,Sunday
1515,1955,Qtr 1,March,22,McDonnell Douglas,Douglas R6D 1 (C,Oahu Hawaii,Navy U.S. - Military,0,66,66,USA,1955-03-22,Tuesday
1516,1955,Qtr 1,March,26,Boeing,Boeing 377 Stratocruiser 10 26N1032V,Off the Oregon coastPan American World Airways,Unknown,0,4,23,USA,1955-03-26,Saturday
1517,1955,Qtr 2,April,2,Curtiss,Curtiss C 46AN51424,Off Pensacola Florida,Airlines Aaxico,0,2,2,USA,1955-04-02,Saturday
1518,1955,Qtr 2,April,4,McDonnell Douglas,Douglas DC 6N37512,Islip New,Lines Air YorkUnited,0,3,3,New Zealand,1955-04-04,Monday
1519,1955,Qtr 2,April,11,Unknown,Lockheed 749A ConstellationVT DEP,Off Great Natuna Island Sarawak,India Air,0,19,19,Malaysia,1955-04-11,Monday
1520,1955,Qtr 2,April,18,De Havilland,de Havilland DH 114 Heron 1BF,Kupe Mountains Cameroons,Aeriens Transportes des Union,0,12,14,Cameroon,1955-04-18,Monday
1521,1955,Qtr 2,May,18,McDonnell Douglas,Douglas DC 3VP,Mt. Kilimanjaro Kenya,Airways African East,0,20,20,Kenya,1955-05-18,Wednesday
1522,1955,Qtr 2,May,21,McDonnell Douglas,Douglas C 47,Off Barcelona Venezuela,Venezolana Aeropostal Linea,0,4,16,Venezuela,1955-05-21,Saturday
1523,1955,Qtr 2,May,26,Avro,Avro 685 York C 1CF,Edmonton Alberta,Canada Associated Airways,0,2,2,Canada,1955-05-26,Thursday
1524,1955,Qtr 2,June,3,McDonnell Douglas,Douglas C 54AF,Fort Lamy Cameroon,Transport de Aéromaritime Union,0,3,3,Cameroon,1955-06-03,Friday
1525,1955,Qtr 2,June,16,Lockheed Martin,Lockheed 049 46,Near Asuncion Paraguay,Brasil do Panair,0,16,24,Paraguay,1955-06-16,Thursday
1526,1955,Qtr 2,June,18,Curtiss,Curtiss C 46XA,Leon Mexico,Voladores Tigres,0,18,39,Mexico,1955-06-18,Saturday
1527,1955,Qtr 3,July,14,McDonnell Douglas,Douglas DC 2,Oaxaca Mexico,Unidas Areas Lineas,0,22,22,Mexico,1955-07-14,Thursday
1528,1955,Qtr 3,July,17,Convair,Convair CV 340,Chicago Illinois,Airlines Braniff,0,22,43,USA,1955-07-17,Sunday
1529,1955,Qtr 3,July,27,Unknown,Lockheed 049 Constellation4X AKC,Near Petrich bulgaria,Al El,0,58,58,Bulgaria,1955-07-27,Wednesday
1530,1955,Qtr 3,August,4,Convair,Convair CV 240,Fort Leonard Wood Missouri,Airlines American,0,30,30,USA,1955-08-04,Thursday
1531,1955,Qtr 3,August,5,Aeroflot,AeroflotL5057,Near Voronezh Russia,Aeroflot,0,25,25,Russia,1955-08-05,Friday
1532,1955,Qtr 3,August,11,Fairchild,Fairchild C119G / Fairchild C119G53 3222/53,Near Edelweiler West,Air U.S. - Military / Force Air U.S. - GermanyMilitary,0,67,67,Germany,1955-08-11,Thursday
1533,1955,Qtr 3,August,26,McDonnell Douglas,Douglas DC 3PP,Caparao Mountain Brazil,Cruzeiro,0,13,13,Brazil,1955-08-26,Friday
1534,1955,Qtr 3,August,30,McDonnell Douglas,Douglas C 47AVT,Simra Nepal,Airlines Kalinga,0,2,3,Nepal,1955-08-30,Tuesday
1535,1955,Qtr 3,September,2,McDonnell Douglas,Douglas DC 3XY,Lanywa Burma,Airways Burma of (Myanmar)Union,0,12,12,Myanmar,1955-09-02,Friday
1536,1955,Qtr 3,September,8,McDonnell Douglas,Douglas DC 3N74663,Burbank California,Transport Air Currey,1,2,33,USA,1955-09-08,Thursday
1537,1955,Qtr 3,September,10,Latecoere,Latecoere 631 (flying boat)F BDRE,Near Banyo Cameroon,Hydro France Societe,0,16,16,Cameroon,1955-09-10,Saturday
1538,1955,Qtr 3,September,17,Bristol,Bristol 170 Freighter 31CF GBT,Near Thorhild Alberta,Canada Pacific Western Airlines,0,2,6,Canada,1955-09-17,Saturday
1539,1955,Qtr 3,September,22,Unknown,Canadair C 4 ArgonautG,Idris Libya,Airways Overseas British,0,15,47,Libya,1955-09-22,Thursday
1540,1955,Qtr 3,September,24,McDonnell Douglas,Douglas C 54AN90433,Pacific Ocean (1 miles,HI)Flying Tiger Line        Honolulu of west,0,3,5,International waters,1955-09-24,Saturday
1541,1955,Qtr 3,September,29,Avro,Avro 685 York C 1CF,Yellowknife Northwest,Canada          Territory Associated Airways,0,1,2,Canada,1955-09-29,Thursday
1542,1955,Qtr 4,October,2,McDonnell Douglas,Douglas C54AOB PAZ,Pico Oiriruma-Vinac Peru,Faucett,0,19,35,Peru,1955-10-02,Sunday
1543,1955,Qtr 4,October,6,McDonnell Douglas,Douglas DC 4N30062,Near Centennial Wyoming,Lines Air United,0,66,66,USA,1955-10-06,Thursday
1544,1955,Qtr 4,October,10,Convair,Convair CV 340,Near Vienna Austria,Airlines Yugoslav JAT,0,7,29,Austria,1955-10-10,Monday
1545,1955,Qtr 4,November,1,McDonnell Douglas,Douglas DC 6BN37559,Longmont Colorado,Lines Air United,0,44,44,USA,1955-11-01,Tuesday
1546,1955,Qtr 4,November,17,McDonnell Douglas,Douglas MC 54M44,Near Las Vegas Nevada,Force Air U.S. - Military,0,14,14,USA,1955-11-17,Thursday
1547,1955,Qtr 4,November,17,McDonnell Douglas,Douglas C 54N88852,Seattle Washingon,Peninsular,0,28,74,USA,1955-11-17,Thursday
1548,1955,Qtr 4,November,20,McDonnell Douglas,Douglas C124 DL Globemaster II51,Iwo Jima Japan,Force Air US - Military,0,10,11,Japan,1955-11-20,Sunday
1549,1955,Qtr 4,November,30,Boeing,Boeing RB 52B52,Near Ballico California,Force Air U.S. - Military,0,10,10,USA,1955-11-30,Wednesday
1550,1955,Qtr 4,December,1,McDonnell Douglas,Douglas DC 3PP,Belem Brazil,Cruzeiro,0,6,6,Brazil,1955-12-01,Thursday
1551,1955,Qtr 4,December,9,Consolidated,Li  2CCCP,Khabarovsk Territory Russia,Aeroflot,0,21,21,Russia,1955-12-09,Friday
1552,1955,Qtr 4,December,17,Curtiss,Curtiss C 46AN9904F,Hollywood South,Airlines CarolinaRiddle,0,2,2,USA,1955-12-17,Saturday
1553,1955,Qtr 4,December,19,McDonnell Douglas,Douglas DC 3?,Sao Paulo Brazil,Sud Do Cruzeiro,0,26,26,Brazil,1955-12-19,Monday
1554,1955,Qtr 4,December,21,Lockheed Martin,Lockheed 749C 79,Jacksonville Florida,Lines Air Eastern,0,17,17,USA,1955-12-21,Wednesday
1555,1956,Qtr 1,January,12,McDonnell Douglas,Douglas C 47VH,Frederick Henry Bay,ANA AustraliaAnsett,0,1,2,Australia,1956-01-12,Thursday
1556,1956,Qtr 1,January,17,McDonnell Douglas,Douglas DC 3CF,Oreway Newfoundland,Canada Quebecair,0,4,18,Canada,1956-01-17,Tuesday
1557,1956,Qtr 1,January,18,McDonnell Douglas,Douglas DC 3OK,Torysa Czechoslovakia,Aerolinie Ceskoslovenske,0,22,26,Slovakia,1956-01-18,Wednesday
1558,1956,Qtr 1,January,28,McDonnell Douglas,Douglas C 47F,Lyon France,France Air,0,3,3,France,1956-01-28,Saturday
1559,1956,Qtr 1,February,13,Bristol,Bristol 170 Freighter 31CF FZU,Frobisher Bay Canada,Airways Central Maritime,0,2,2,Canada,1956-02-13,Monday
1560,1956,Qtr 1,February,14,McDonnell Douglas,Douglas C 47,Near Fort Chimo Quebec,Canada Spartan Air Services,0,2,3,Canada,1956-02-14,Tuesday
1561,1956,Qtr 1,February,17,McDonnell Douglas,Douglas R5D239116,Near Niles California,Corps Marine U.S. - Military,0,40,40,USA,1956-02-17,Friday
1562,1956,Qtr 1,February,18,Avro,Avro 685 York C 1G,Near Zurrieg Malta,Airlines Scottish,0,50,50,Mal,1956-02-18,Saturday
1563,1956,Qtr 1,February,20,McDonnell Douglas,Douglas DC 6BF,Near Cairo Egypt,(France) Intercontinentaux Aerien Transport,0,52,64,Egypt,1956-02-20,Monday
1564,1956,Qtr 1,February,24,McDonnell Douglas,Douglas DC 3YK,Near Aleppo Syria,Airways Syrian,0,19,19,Syria,1956-02-24,Friday
1565,1956,Qtr 1,February,25,McDonnell Douglas,Douglas C 47BAP,Jalkot Pakistan,Airlines International Pakistan,0,3,3,Pakistan,1956-02-25,Saturday
1566,1956,Qtr 1,March,21,McDonnell Douglas,Douglas DC 3VT,Tezpur India,Airlines Indian,0,2,21,India,1956-03-21,Wednesday
1567,1956,Qtr 1,March,28,McDonnell Douglas,Douglas C 47BG,Largs England,Starways,0,1,3,UK,1956-03-28,Wednesday
1568,1956,Qtr 1,March,31,McDonnell Douglas,Douglas C 47AVT,Indapur India,Operators Air National,0,3,3,India,1956-03-31,Saturday
1569,1956,Qtr 1,March,31,McDonnell Douglas,Douglas C 47AL2,Korat  -,Royal Thai Air Force (RTAF),0,19,19,Thailand,1956-03-31,Saturday
1570,1956,Qtr 2,April,1,Lockheed Martin,Martin 404N40403,Pittsburgh Pennsylvania,Airlines World Trans,0,22,36,USA,1956-04-01,Sunday
1571,1956,Qtr 2,April,2,Boeing,Boeing 377 Stratocruiser 10 30N74608,Seattle Washington,Airlines Orient Northwest,0,5,38,USA,1956-04-02,Monday
1572,1956,Qtr 2,April,9,Aero Commander AC,Aero Commander  520B5386N,Skilak Lake Alaska,Airlines Cordova,0,6,6,USA,1956-04-09,Monday
1573,1956,Qtr 2,April,18,Consolidated,Consolidated PBY 5A CatalinaPP,Parintins Brazil,Brasil do Panair,0,3,12,Brazil,1956-04-18,Wednesday
1574,1956,Qtr 2,April,30,Avro,Avro 685 York C 1G,London England,Airlines Scottish,0,2,54,UK,1956-04-30,Monday
1575,1956,Qtr 2,May,15,Unknown,CF  100 Mark 4B18367,Orleans Ontario,Canada Military - Royal Canadian Air Force,13,2,2,Canada,1956-05-15,Tuesday
1576,1956,Qtr 2,May,15,McDonnell Douglas,Douglas DC 3VT,Kathmandu Nepal,Airlines Indian,1,14,31,Nepal,1956-05-15,Tuesday
1577,1956,Qtr 2,May,24,McDonnell Douglas,Douglas C 47,Guatemala City Guatemala,Aviateca,0,30,31,Guatemala,1956-05-24,Thursday
1578,1956,Qtr 2,June,13,McDonnell Douglas,Douglas DC 3?,Over North CarolinaPiedmont,Unknown,0,1,0,USA,1956-06-13,Wednesday
1579,1956,Qtr 2,June,20,Lockheed Martin,Lockheed 1049E 55 Super ConstellationYV,Asbury Park New,Venezolana Aeropostal JerseyLinea,0,74,74,New Zealand,1956-06-20,Wednesday
1580,1956,Qtr 2,June,24,Unknown,Canadair C 4 ArgonautG,Kano Nigeria,Airways Overseas British,0,32,45,Nigeria,1956-06-24,Sunday
1581,1956,Qtr 2,June,30,McDonnell Douglas,Douglas DC 7 / Lockheed S ConstellationN6902C/N6324C,Grand Canyon Arizona,Airlines World Trans / Lines Air United,0,128,128,USA,1956-06-30,Saturday
1582,1956,Qtr 3,July,9,Vickers,Vickers ViscountCF TGR,Near Flat Rock Michigan,Lines Air Canada Trans,0,1,35,USA,1956-07-09,Monday
1583,1956,Qtr 3,July,13,McDonnell Douglas,Douglas C 118A53,Near Brows Mills New,Force Air U.S. - JerseyMilitary,0,46,66,New Zealand,1956-07-13,Friday
1584,1956,Qtr 3,July,15,Convair,Convair CV 440,Shannon Ireland,Swissair,0,4,4,Ireland,1956-07-15,Sunday
1585,1956,Qtr 3,July,16,McDonnell Douglas,Douglas DC 3LV,Rio Cuarto Argentina,Argentinas Aerolineas,0,18,18,Argentina,1956-07-16,Monday
1586,1956,Qtr 3,August,8,McDonnell Douglas,Douglas DC 3XY,Thazi Burma,Airways Burma of Union,0,12,22,Myanmar,1956-08-08,Wednesday
1587,1956,Qtr 3,August,29,McDonnell Douglas,Douglas DC 6BCF,Cold Bay Alaska,Lines Air Pacific Canadian,0,15,22,USA,1956-08-29,Wednesday
1588,1956,Qtr 3,September,9,McDonnell Douglas,Douglas DC 3 / Cessna 170BN33315 / N8143A,Bartlesville Oklahoma,Airlines Continental,0,0,18,USA,1956-09-09,Sunday
1589,1956,Qtr 3,September,9,Curtiss,Curtiss C 46A,Amman Jordan,Airlines International Jordan,0,1,57,Jordan,1956-09-09,Sunday
1590,1956,Qtr 4,October,2,Stinson,Stinson AT 19N 79069,Near Nome Alaska,Airlines Alaska,0,5,5,USA,1956-10-02,Tuesday
1591,1956,Qtr 4,October,10,McDonnell Douglas,Douglas C188 B1311588,Off Land's End England,Navy U.S. - Military,0,59,59,UK,1956-10-10,Wednesday
1592,1956,Qtr 4,October,16,Boeing,Boeing  377 StratocruiserN90943,Over the Pacific OceanPan American World Airways,Unknown,0,0,31,International Waters,1956-10-16,Tuesday
1593,1956,Qtr 4,October,19,McDonnell Douglas,Douglas DC 3VT,Agartala India,Airlines Indian,0,3,3,India,1956-10-19,Friday
1594,1956,Qtr 4,October,28,Curtiss,Curtiss C 46SU,Over the Mediterranean SeaMilitary - Egyptian Air Force,Unknown,0,16,16,France,1956-10-28,Sunday
1595,1956,Qtr 4,November,5,Handley Page,Handley Page HP 1 HermesG,Blackbushe England,Britavia,0,7,80,UK,1956-11-05,Monday
1596,1956,Qtr 4,November,7,De Havilland,de Havilland DH 114 Heron 2BLN,Hommelfjell Norway,Braathens,0,2,12,Norway,1956-11-07,Wednesday
1597,1956,Qtr 4,November,15,McDonnell Douglas,Douglas C 54A,Puerto Somoza Nicaragua,Guest Aerovias,0,25,25,Nicaragua,1956-11-15,Thursday
1598,1956,Qtr 4,November,17,McDonnell Douglas,Douglas DC 3HK,El Rucio Mountain Colombia,Pacifico del Aviacion Empresa,0,36,36,Colombia,1956-11-17,Saturday
1599,1956,Qtr 4,November,24,Ilyushin,Ilyushin IL 12BOK,Near Eglisau Switzerland,Aerolinie Ceskoslovenske,0,23,23,Switzerland,1956-11-24,Saturday
1600,1956,Qtr 4,November,24,McDonnell Douglas,Douglas DC 6BI,Paris France,Italiane Aeree Linee,8,34,35,France,1956-11-24,Saturday
1601,1956,Qtr 4,November,27,Lockheed Martin,Lockheed 749 79,Caracas Venezuela,Venezolana Aeropostal Linea,0,25,25,Venezuela,1956-11-27,Tuesday
1602,1956,Qtr 4,December,8,Consolidated,Consolidated PBY 5A CatalinaHK,Caqueta Colombia,AIDA,0,14,16,Colombia,1956-12-08,Saturday
1603,1956,Qtr 4,December,9,Unknown,Canadair DC 4M,Near Chilliwack British,Canada          Columbia Trans Canada Air Lines,0,62,62,UK,1956-12-09,Sunday
1604,1956,Qtr 4,December,12,Vickers,Vickers 708 ViscountF BGNK,Dannemois France,France Air,0,5,5,France,1956-12-12,Wednesday
1605,1956,Qtr 4,December,22,McDonnell Douglas,Douglas DC 3I,Mt. Giner Italy,Italiane Aeree Linee,0,21,21,Italy,1956-12-22,Saturday
1606,1956,Qtr 4,December,22,Convair,Convair CV 340,Grub Germany,Airlines Yugoslav JAT,0,3,30,Germany,1956-12-22,Saturday
1607,1956,Qtr 4,December,31,Lockheed Martin,Lockheed C 121C Super Constellation54,Dhahran Saudi,Force Air U.S. - ArabiaMilitary,0,12,38,Saudi Arabia,1956-12-31,Monday
1608,1957,Qtr 1,January,6,Convair,Convair CV 240,Owasso Oklahoma,Airlines American,0,1,10,USA,1957-01-06,Sunday
